Mouse Genes,Human Ortholog Symbol
Mycbp2,ENSG00000005810
Tfg,ENSG00000114354
Fam47e,ENSG00000189157
4632434I11Rik,ENSG00000165490
Cct4,ENSG00000115484
Pcnp,ENSG00000081154
Tmtc1,ENSG00000133687
Stil,ENSG00000123473
Pogk,ENSG00000143157
Ppp1r8,ENSG00000117751
Piwil4,ENSG00000134627
Fndc5,ENSG00000160097
Garem,ENSG00000141441
Bhlha15,ENSG00000180535
Paqr8,ENSG00000170915
Rps6ka6,ENSG00000072133
Slc6a17,ENSG00000197106
Plekhm2,ENSG00000116786
Mul1,ENSG00000090432
Atxn7,ENSG00000163635
Gpd2,ENSG00000160211
Adal,ENSG00000168803
Shroom3,ENSG00000138771
Pbld2,ENSG00000108187
Letm2,ENSG00000165046
2010111I01Rik,ENSG00000148120
Rps19bp1,ENSG00000187051
Clmn,ENSG00000165959
Bcas3,ENSG00000141376
Timm13,ENSG00000099800
Rapgef4,ENSG00000091428
Ncapg,ENSG00000109805
Tro,ENSG00000067445
Plekhg4,ENSG00000196155
Pdlim7,ENSG00000196923
Top2b,ENSG00000077097
Zfp213,ENSG00000085644
Elmod1,ENSG00000110675
Rdh1,ENSG00000139547
Bcl2l2,ENSG00000129473
Hnrnpd,ENSG00000138668
Pnpla7,ENSG00000130653
Ddx59,ENSG00000118197
B230118H07Rik,ENSG00000166352
Usp30,ENSG00000135093
Trmt13,ENSG00000122435
Maml3,ENSG00000196782
Dnajc5,ENSG00000101152
Rhno1,ENSG00000171792
Cops7a,ENSG00000111652
Gdnf,ENSG00000168621
Rbm27,ENSG00000091009
Adam23,ENSG00000114948
Ttyh2,ENSG00000141540
Mcf2l,ENSG00000126217
Map3k15,ENSG00000180815
Trim12a,ENSG00000132256
Mea1,ENSG00000124733
Htra1,ENSG00000166033
Stam,ENSG00000136738
Ccdc104,ENSG00000163001
Adora1,ENSG00000163485
Trim16,ENSG00000221926
Apex1,ENSG00000100823
Clec4a2,ENSG00000198178
Zfp128,ENSG00000278129
Ikzf1,ENSG00000185811
Pdcl3,ENSG00000115539
Depdc7,ENSG00000121690
Zdhhc14,ENSG00000175048
Sowahb,ENSG00000186212
Trpv4,ENSG00000111199
Ccdc158,ENSG00000163749
Adamdec1,ENSG00000134028
Nkd2,ENSG00000145506
Med30,ENSG00000164758
Ddb1,ENSG00000167986
Lias,ENSG00000121897
Tamm41,ENSG00000144559
Lrrn1,ENSG00000175928
Zdhhc21,ENSG00000175893
Sptbn1,ENSG00000115306
Zfp773,ENSG00000233757
Fut8,ENSG00000033170
AU021092,ENSG00000153446
Zfpl1,ENSG00000162300
Fermt3,ENSG00000149781
Bean1,ENSG00000166546
C230052I12Rik,ENSG00000131944
Lsg1,ENSG00000041802
Ms4a4c,ENSG00000110079
Heca,ENSG00000112406
Gulp1,ENSG00000144366
Oas1b,ENSG00000089127
Gm11711,ENSG00000186074
Gm11710,ENSG00000186074
Zfr2,ENSG00000105278
Ccdc81,ENSG00000149201
Ccdc6,ENSG00000108091
Ppp2r2b,ENSG00000156475
Usp25,ENSG00000155313
Iqsec1,ENSG00000144711
Pcbd1,ENSG00000166228
1600012H06Rik,ENSG00000185127
Tmtc3,ENSG00000139324
Fasn,ENSG00000169710
Slc38a6,ENSG00000139974
Smpd4,ENSG00000136699
Hmgn5,ENSG00000198157
6430548M08Rik,ENSG00000135709
Dnajc19,ENSG00000205981
Ipo11,ENSG00000086200
Ddx49,ENSG00000105671
Gnai1,ENSG00000127955
Cyp4v3,ENSG00000145476
Elmo2,ENSG00000062598
Smug1,ENSG00000123415
Stxbp6,ENSG00000168952
Mcts1,ENSG00000232119
Nrros,ENSG00000174004
Gorasp2,ENSG00000115806
Arih2,ENSG00000177479
Fkbp9,ENSG00000122642
Psmc3ip,ENSG00000131470
Ankfn1,ENSG00000153930
Ambra1,ENSG00000110497
Mrps23,ENSG00000181610
Uevld,ENSG00000151116
Lpcat2,ENSG00000087253
Kcnrg,ENSG00000198553
Dnajc12,ENSG00000108176
Tra2b,ENSG00000136527
Pex5,ENSG00000139197
Dmpk,ENSG00000104936
Porcn,ENSG00000102312
Mpeg1,ENSG00000197629
Slc50a1,ENSG00000169241
Fam133b,ENSG00000234545
Prmt8,ENSG00000111218
Ap1g1,ENSG00000166747
Gpn3,ENSG00000111231
G3bp1,ENSG00000145907
2310030G06Rik,ENSG00000149300
Wdr7,ENSG00000091157
Vipr2,ENSG00000106018
Irf4,ENSG00000137265
Prex1,ENSG00000124126
Arhgap1,ENSG00000175220
Hnrnpll,ENSG00000143889
Il4ra,ENSG00000077238
Fbxw9,ENSG00000132004
Csrp3,ENSG00000129170
Hps4,ENSG00000100099
Dclre1a,ENSG00000198924
Oxr1,ENSG00000164830
Fbln2,ENSG00000163520
Flna,ENSG00000196924
Fbxl20,ENSG00000108306
Mrvi1,ENSG00000072952
Rps17,ENSG00000182774
Tmem212,ENSG00000186329
Ptpn12,ENSG00000127947
Plbd1,ENSG00000121316
Thbs1,ENSG00000137801
Fiz1,ENSG00000179943
Zfp583,ENSG00000198440
Rbfa,ENSG00000101546
Col28a1,ENSG00000215018
Tshz2,ENSG00000182463
Rbm41,ENSG00000089682
Sgk3,ENSG00000104205
Skiv2l,ENSG00000204351
Znrf3,ENSG00000183579
Fam132a,ENSG00000184163
Cav1,ENSG00000105974
Acadl,ENSG00000115361
Frmpd1,ENSG00000070601
Tsku,ENSG00000182704
Wipi2,ENSG00000157954
Timm50,ENSG00000105197
Suv420h1,ENSG00000110066
Pm20d2,ENSG00000146281
Tgif2,ENSG00000118707
Rangap1,ENSG00000100401
Pex6,ENSG00000124587
Prom2,ENSG00000155066
Aamdc,ENSG00000087884
Cacna1g,ENSG00000006283
Wdr1,ENSG00000071127
Lhfp,ENSG00000182508
Abat,ENSG00000183044
Kcnq5,ENSG00000185760
Hs2st1,ENSG00000153936
Esf1,ENSG00000089048
Rnf214,ENSG00000167257
Uchl1,ENSG00000154277
St13,ENSG00000100380
Icam1,ENSG00000090339
Ctdspl2,ENSG00000137770
Atrip,ENSG00000164053
Eif2b2,ENSG00000119718
Ywhag,ENSG00000170027
Grn,ENSG00000030582
Vamp4,ENSG00000117533
Rnf219,ENSG00000152193
Tmed9,ENSG00000184840
Siva1,ENSG00000184990
Creg1,ENSG00000143162
Gpnmb,ENSG00000136235
Ddost,ENSG00000244038
Alg1,ENSG00000033011
Aldh1l1,ENSG00000144908
Dsel,ENSG00000171451
Bcr,ENSG00000186716
Tmprss13,ENSG00000137747
Myh9,ENSG00000100345
Psph,ENSG00000146733
Atrn,ENSG00000088812
Slco2a1,ENSG00000174640
Ppp2r2d,ENSG00000175470
Dna2,ENSG00000138346
Mrpl45,ENSG00000278845
Bbs5,ENSG00000163093
Ptgir,ENSG00000160013
Dcx,ENSG00000077279
Zfp326,ENSG00000162664
Dock10,ENSG00000135905
Nme6,ENSG00000172113
Grwd1,ENSG00000105447
Stk39,ENSG00000198648
Gtf3c3,ENSG00000119041
Mkl2,ENSG00000186260
Hmgcr,ENSG00000113161
Taf4b,ENSG00000141384
Tada1,ENSG00000152382
Armcx1,ENSG00000126947
Fnip2,ENSG00000052795
Synj2bp,ENSG00000213463
Clspn,ENSG00000092853
Meaf6,ENSG00000163875
1810058I24Rik,ENSG00000243317
Hmgn3,ENSG00000118418
Atp6v1b1,ENSG00000116039
Cdc23,ENSG00000094880
Tlk1,ENSG00000198586
Cc2d2a,ENSG00000048342
Insr,ENSG00000171105
Psap,ENSG00000197746
Clec2i,ENSG00000069493
Rspry1,ENSG00000159579
Svip,ENSG00000198168
Tmem252,ENSG00000181778
Vkorc1l1,ENSG00000196715
Ctps2,ENSG00000047230
Srpk1,ENSG00000096063
Phf5a,ENSG00000100410
Notch1,ENSG00000148400
Raph1,ENSG00000173166
Srbd1,ENSG00000068784
Slc4a1ap,ENSG00000163798
Cacna1a,ENSG00000141837
Depdc1a,ENSG00000024526
H2-Ke6,ENSG00000204228
Ntmt1,ENSG00000148335
Fbln5,ENSG00000140092
Mocs2,ENSG00000164172
Gltp,ENSG00000139433
Ankrd13a,ENSG00000076513
Cep19,ENSG00000174007
Fam76b,ENSG00000077458
Smim19,ENSG00000176209
Prodh,ENSG00000277196
Rarb,ENSG00000077092
Ccdc60,ENSG00000183273
Ace,ENSG00000159640
Tceal1,ENSG00000172465
Btd,ENSG00000169814
Runx3,ENSG00000020633
Spidr,ENSG00000164808
Polr3e,ENSG00000058600
Xab2,ENSG00000076924
Taf9b,ENSG00000187325
A330021E22Rik,ENSG00000105792
Cyp11a1,ENSG00000140459
Supt5,ENSG00000196235
Ttc13,ENSG00000143643
Dixdc1,ENSG00000150764
Mast2,ENSG00000086015
Rtkn,ENSG00000114993
Rfc2,ENSG00000049541
Ctage5,ENSG00000212710
Hipk2,ENSG00000064393
Extl1,ENSG00000158008
Crtap,ENSG00000170275
Rbp1,ENSG00000114115
Tmem263,ENSG00000151135
Fam228b,ENSG00000219626
Cd200r1,ENSG00000163606
Elk4,ENSG00000158711
Foxo4,ENSG00000184481
Atp6v1b2,ENSG00000147416
Fosl1,ENSG00000175592
Dhfr,ENSG00000228716
Hmgxb3,ENSG00000113716
Fbxo40,ENSG00000163833
Lrrk1,ENSG00000154237
Atp1b2,ENSG00000129244
Usp39,ENSG00000168883
Spire1,ENSG00000134278
Nmrk2,ENSG00000077009
Efna2,ENSG00000099617
Iqck,ENSG00000174628
Mcm6,ENSG00000076003
Prc1,ENSG00000198901
Rgs19,ENSG00000171700
Rap1gds1,ENSG00000138698
Ly6c2,ENSG00000291309
Fcgr1,ENSG00000150337
Lrrc57,ENSG00000180979
Tspan3,ENSG00000140391
Trmt2b,ENSG00000188917
Bysl,ENSG00000112578
Ccdc102a,ENSG00000135736
Yod1,ENSG00000180667
Cnr1,ENSG00000204967
Stat2,ENSG00000170581
Lpar1,ENSG00000198121
Maged1,ENSG00000179222
Tmem168,ENSG00000146802
D3Bwg0562e,ENSG00000117600
Ankrd9,ENSG00000156381
Mcm7,ENSG00000166508
Jag1,ENSG00000101384
Nfatc4,ENSG00000100968
Ercc4,ENSG00000175595
Ascc3,ENSG00000112249
Lpcat3,ENSG00000111684
Capn12,ENSG00000182472
Stbd1,ENSG00000118804
Col4a1,ENSG00000187498
Gpr27,ENSG00000170837
Neurl1b,ENSG00000214357
Susd3,ENSG00000157303
Spn,ENSG00000108819
Gprasp2,ENSG00000158301
Usp34,ENSG00000115464
Mrpl30,ENSG00000185414
Fbxw4,ENSG00000107829
Scd4,ENSG00000099194
Mbp,ENSG00000197971
Vsig2,ENSG00000019102
Rnf24,ENSG00000101236
Abcf2,ENSG00000033050
Muc20,ENSG00000176945
5730409E04Rik,ENSG00000142686
Mfsd6l,ENSG00000185156
Adck5,ENSG00000173137
Ywhaz,ENSG00000164924
Nagk,ENSG00000124357
Col5a1,ENSG00000130635
Erh,ENSG00000100632
Pdk1,ENSG00000152256
Slc3a2,ENSG00000168003
Canx,ENSG00000127022
Liph,ENSG00000163898
Slc26a2,ENSG00000155850
Rab28,ENSG00000157869
Smarcc2,ENSG00000139613
Chd4,ENSG00000111642
Lysmd1,ENSG00000163155
Zfp280b,ENSG00000275004
Gjb6,ENSG00000121742
Fam195a,ENSG00000172366
Rcan2,ENSG00000172348
Ccdc88b,ENSG00000168071
Cd180,ENSG00000134061
Unc13b,ENSG00000198722
Pycr2,ENSG00000143811
Fanca,ENSG00000187741
Fcho2,ENSG00000157107
Ryk,ENSG00000163785
Snrpb2,ENSG00000125870
Gpr125,ENSG00000152990
Acta1,ENSG00000143632
Mvd,ENSG00000167508
Alkbh6,ENSG00000239382
Dbnl,ENSG00000136279
Rft1,ENSG00000163933
Aph1c,ENSG00000138613
BC024978,ENSG00000188493
Sftpc,ENSG00000168484
Rapgef1,ENSG00000107263
Atp5s,ENSG00000125375
Pmf1,ENSG00000160783
Dnah5,ENSG00000039139
Wbscr17,ENSG00000185274
Rps18,ENSG00000231500
Dio2,ENSG00000211448
Slc25a45,ENSG00000162241
Zbtb9,ENSG00000213588
Rbbp8,ENSG00000101773
Slc19a2,ENSG00000117479
Akap10,ENSG00000108599
Zfp385b,ENSG00000144331
Zdhhc6,ENSG00000023041
Gabpa,ENSG00000154727
Esyt2,ENSG00000117868
Mmab,ENSG00000139428
Nid2,ENSG00000087303
Anapc11,ENSG00000141552
Wwc2,ENSG00000151718
Nub1,ENSG00000013374
N6amt2,ENSG00000150456
Tmem116,ENSG00000198270
Lnpep,ENSG00000113441
Cd300a,ENSG00000167851
Ptrh1,ENSG00000187024
Peak1,ENSG00000173517
Slc1a2,ENSG00000110436
Mrps7,ENSG00000125445
Rrp1,ENSG00000160214
Arhgef25,ENSG00000240771
Lime1,ENSG00000203896
Brk1,ENSG00000254999
Best3,ENSG00000127325
Arsj,ENSG00000180801
Tppp3,ENSG00000159713
Sirt3,ENSG00000142082
Brf1,ENSG00000185650
Sphk1,ENSG00000176170
Ccnyl1,ENSG00000284209
Ldlrap1,ENSG00000157978
Zfyve21,ENSG00000100711
Plk1,ENSG00000166851
Vapb,ENSG00000124164
Smpd2,ENSG00000135587
Cadm1,ENSG00000182985
Atg4c,ENSG00000125703
Dgkg,ENSG00000058866
Ptgr1,ENSG00000106853
Sdhb,ENSG00000117118
Nt5dc3,ENSG00000111696
Gnl3,ENSG00000163938
Phc1,ENSG00000111752
Hdac8,ENSG00000147099
Adarb1,ENSG00000197381
Robo2,ENSG00000185008
Map2k6,ENSG00000108984
Hist2h2be,ENSG00000124635
Mlec,ENSG00000110917
Rsl24d1,ENSG00000137876
Snx9,ENSG00000130340
Gnl2,ENSG00000134697
Mettl23,ENSG00000181038
Cdc6,ENSG00000094804
Get4,ENSG00000239857
Dmap1,ENSG00000178028
Clock,ENSG00000134852
Cep97,ENSG00000182504
Dusp18,ENSG00000167065
Nuf2,ENSG00000143228
Cenpf,ENSG00000117724
Dusp22,ENSG00000112679
Uprt,ENSG00000094841
Plgrkt,ENSG00000107020
Aaas,ENSG00000094914
2810474O19Rik,ENSG00000174718
Armcx4,ENSG00000196440
Rpl22l1,ENSG00000163584
Tesk1,ENSG00000107140
Chfr,ENSG00000072609
Rnf19a,ENSG00000034677
Sepp1,ENSG00000250722
Atp13a3,ENSG00000133657
Atad5,ENSG00000176208
Lrg1,ENSG00000171236
2610015P09Rik,ENSG00000163617
Zfp236,ENSG00000130856
Cpxm2,ENSG00000121898
Trim30d,ENSG00000132256
Brd7,ENSG00000166164
Ccdc43,ENSG00000180329
Bmp1,ENSG00000168487
Map3k2,ENSG00000169967
Cyp4f15,ENSG00000186115
Rtn2,ENSG00000125744
Amtn,ENSG00000187689
Ncdn,ENSG00000020129
Mettl7a1,ENSG00000185432
Rps29,ENSG00000213741
Notch3,ENSG00000074181
Hnrnph2,ENSG00000126945
Cep57,ENSG00000166037
Tars2,ENSG00000143374
Fermt1,ENSG00000101311
Havcr1,ENSG00000113249
Ccdc8,ENSG00000169515
Nkap,ENSG00000101882
Rasl10b,ENSG00000270885
Cdc20b,ENSG00000164287
Aldh3a2,ENSG00000072210
Ctcfl,ENSG00000124092
Cep104,ENSG00000116198
Fhit,ENSG00000189283
Gas1,ENSG00000180447
Abcb6,ENSG00000115657
Pdxdc1,ENSG00000179889
Dck,ENSG00000156136
Ccdc3,ENSG00000151468
Dynlt1c,ENSG00000146425
Xrcc6,ENSG00000196419
Rdh10,ENSG00000121039
Tmem30a,ENSG00000112697
Oplah,ENSG00000178814
Bpifa1,ENSG00000198183
Rsph3b,ENSG00000130363
Gm3414,ENSG00000178177
Arpc5,ENSG00000162704
Sppl3,ENSG00000157837
Med18,ENSG00000130772
Smarcad1,ENSG00000163104
Kat7,ENSG00000136504
Slc12a6,ENSG00000140199
1700028K03Rik,ENSG00000203910
Larp7,ENSG00000174720
Tle4,ENSG00000106829
Sparcl1,ENSG00000152583
Paqr9,ENSG00000188582
Srek1ip1,ENSG00000153006
Usp33,ENSG00000077254
Adamts15,ENSG00000166106
Neurl2,ENSG00000124257
Ints4,ENSG00000149262
Timm17a,ENSG00000134375
Dnajc8,ENSG00000126698
Tsn,ENSG00000211460
Atp1a2,ENSG00000018625
Rtdr1,ENSG00000100218
Tmem229b,ENSG00000198133
Pex26,ENSG00000215193
Ap2s1,ENSG00000042753
Osbp,ENSG00000110048
Prrg2,ENSG00000126460
Krt10,ENSG00000186395
Ormdl3,ENSG00000172057
Gpc3,ENSG00000147257
Snupn,ENSG00000169371
Ptpn9,ENSG00000169410
Igbp1,ENSG00000089289
Cmya5,ENSG00000164309
Slc35d2,ENSG00000130958
Ndrg1,ENSG00000104419
Tuba1c,ENSG00000167553
Ldlrad1,ENSG00000203985
Sertad3,ENSG00000167565
Srm,ENSG00000125508
Zfp282,ENSG00000170265
Tceal8,ENSG00000180964
Pcdh20,ENSG00000280165
Ano1,ENSG00000131620
Skiv2l2,ENSG00000039123
Klhl3,ENSG00000146021
Tnnt2,ENSG00000118194
Fgf7,ENSG00000140285
Epc2,ENSG00000135999
Ccdc86,ENSG00000110104
Dlat,ENSG00000150768
Galnt2,ENSG00000143641
Cnrip1,ENSG00000119865
Tbata,ENSG00000166220
Tmem39b,ENSG00000121775
Pcyt1b,ENSG00000102230
Eif3b,ENSG00000106263
Trex1,ENSG00000213689
Btbd11,ENSG00000151136
Ppie,ENSG00000084072
Scrn2,ENSG00000141295
Dido1,ENSG00000101191
Zbtb11,ENSG00000066422
Commd10,ENSG00000145781
Foxn2,ENSG00000170802
Cecr5,ENSG00000069998
Paip2b,ENSG00000124374
Gtf2h3,ENSG00000111358
Cdc40,ENSG00000168438
Bik,ENSG00000100290
Tmem138,ENSG00000149483
Ap3b1,ENSG00000132842
Morn4,ENSG00000171160
Ctbp1,ENSG00000159692
Dnajc1,ENSG00000136770
Zbtb49,ENSG00000168826
Nutf2-ps1,ENSG00000102898
Ccl17,ENSG00000102970
Styx,ENSG00000198252
Plscr3,ENSG00000187838
Rnft2,ENSG00000135119
Bmp3,ENSG00000152785
Atg12,ENSG00000145782
Tmeff2,ENSG00000144339
Me3,ENSG00000151376
Zfp235,ENSG00000159915
Runx1t1,ENSG00000079102
Syngr1,ENSG00000100321
Tspyl4,ENSG00000187189
Tmed1,ENSG00000099203
Fcgr4,ENSG00000203747
Dhx15,ENSG00000109606
Tap1,ENSG00000168394
Hspg2,ENSG00000142798
Atp5a1,ENSG00000152234
Acad8,ENSG00000151498
Ccdc176,ENSG00000119636
Mvb12b,ENSG00000196814
Cd274,ENSG00000120217
Zfp94,ENSG00000124459
Srsf2,ENSG00000161547
St3gal5,ENSG00000115525
Poglut1,ENSG00000163389
Cdkl3,ENSG00000006837
Atp5b,ENSG00000110955
Ccl22,ENSG00000102962
Ctse,ENSG00000196188
Troap,ENSG00000135451
Wdr11,ENSG00000120008
Glcci1,ENSG00000106415
Zc3hc1,ENSG00000091732
Zfand2b,ENSG00000158552
Creb3,ENSG00000107175
Kcnip3,ENSG00000115041
Pmvk,ENSG00000163344
Phf11d,ENSG00000136147
Rreb1,ENSG00000124782
Cep192,ENSG00000101639
Rrp36,ENSG00000124541
Emid1,ENSG00000186998
Arhgef19,ENSG00000142632
Mphosph9,ENSG00000051825
Dusp4,ENSG00000120875
Brd9,ENSG00000028310
Gpatch4,ENSG00000160818
Enpp5,ENSG00000112796
BC003965,ENSG00000174109
Nipbl,ENSG00000164190
Marco,ENSG00000019169
Gbp9,ENSG00000183347
Syap1,ENSG00000169895
Col4a3,ENSG00000169031
Eppk1,ENSG00000261150
Polr3k,ENSG00000161980
Gpt2,ENSG00000166123
Pcdhga10,ENSG00000253846
Ptpn4,ENSG00000088179
Ing5,ENSG00000168395
Lypd6,ENSG00000187123
Renbp,ENSG00000102032
Zdhhc15,ENSG00000102383
Ptprn2,ENSG00000155093
Tmx4,ENSG00000125827
Lrfn3,ENSG00000126243
Dhx8,ENSG00000067596
Veph1,ENSG00000197415
Ltn1,ENSG00000198862
Tmub2,ENSG00000168591
Pld1,ENSG00000075651
Sntb1,ENSG00000172164
Csf2,ENSG00000164400
Plec,ENSG00000178209
9430038I01Rik,ENSG00000237489
Papss1,ENSG00000138801
Surf4,ENSG00000148248
Pkn2,ENSG00000065243
Bsg,ENSG00000172270
2210018M11Rik,ENSG00000158636
Vgll3,ENSG00000206538
Zbtb4,ENSG00000174282
Zfp507,ENSG00000168813
Snrpf,ENSG00000139343
Pcdhb4,ENSG00000113209
Kat2a,ENSG00000108773
Trim62,ENSG00000116525
Kmt2c,ENSG00000055609
Cdc42bpb,ENSG00000198752
Zfp438,ENSG00000183621
Fkbp8,ENSG00000105701
Lrrc32,ENSG00000137507
Aim1l,ENSG00000176092
Mynn,ENSG00000085274
Lrrc23,ENSG00000010626
Klk11,ENSG00000167748
Grp,ENSG00000134443
Ccdc42,ENSG00000161973
Mob4,ENSG00000115540
BC068157,ENSG00000183248
Tnfaip2,ENSG00000185215
Scarf1,ENSG00000074660
Dgcr6,ENSG00000278817
Dnajc28,ENSG00000177692
Dgcr8,ENSG00000128191
Ipo13,ENSG00000117408
Cnn2,ENSG00000064666
Magi1,ENSG00000151276
Atp5e,ENSG00000124172
Zbtb22,ENSG00000236104
Tmem132d,ENSG00000151952
Kbtbd2,ENSG00000170852
Epb4.1l3,ENSG00000082397
Psma4,ENSG00000041357
Cdk12,ENSG00000167258
Siah2,ENSG00000181788
Prep,ENSG00000107959
Ccdc33,ENSG00000140481
Gbf1,ENSG00000107862
Amfr,ENSG00000159461
Gipc1,ENSG00000123159
Rrad,ENSG00000166592
Fam135a,ENSG00000082269
Dtd1,ENSG00000125821
Dzip1,ENSG00000134874
Cdk14,ENSG00000058091
1810010H24Rik,ENSG00000186665
Ube2q2,ENSG00000140367
Psen1,ENSG00000080815
Sash3,ENSG00000122122
Gbp8,ENSG00000183347
Camk2g,ENSG00000148660
Fbxo9,ENSG00000112146
Zfp639,ENSG00000121864
Gpr20,ENSG00000204882
Slc30a5,ENSG00000145740
Gsto1,ENSG00000148834
Syt11,ENSG00000132718
Sgpl1,ENSG00000166224
Zfp382,ENSG00000161298
P2rx2,ENSG00000187848
Vcan,ENSG00000038427
Pnpo,ENSG00000108439
Nme1,ENSG00000239672
Casp12,ENSG00000204403
Cirh1a,ENSG00000141076
Gtf3c4,ENSG00000125484
Klhdc8a,ENSG00000162873
Lrrc43,ENSG00000158113
Mdn1,ENSG00000112159
Cdhr3,ENSG00000128536
Pcyt2,ENSG00000185813
Spry1,ENSG00000164056
Zc3h12b,ENSG00000102053
Tpr,ENSG00000047410
Dis3,ENSG00000083520
Arl3,ENSG00000138175
Cachd1,ENSG00000158966
Ccdc51,ENSG00000164051
Ogfr,ENSG00000060491
Mkks,ENSG00000125863
Kctd16,ENSG00000183775
Ggt6,ENSG00000167741
Gm608,ENSG00000176542
Pacsin2,ENSG00000100266
Urm1,ENSG00000167118
Rnf185,ENSG00000138942
Cdr2,ENSG00000140743
Rbfox2,ENSG00000100320
Psmd7,ENSG00000103035
2210013O21Rik,ENSG00000204272
Sesn3,ENSG00000149212
Ccdc153,ENSG00000248712
Ergic1,ENSG00000113719
Bcap31,ENSG00000185825
Elf3,ENSG00000115306
Atp7b,ENSG00000123191
Dnm1,ENSG00000106976
Flt4,ENSG00000037280
Plxnb3,ENSG00000198753
Dus1l,ENSG00000169718
Dtl,ENSG00000143476
1110004E09Rik,ENSG00000159079
Ctso,ENSG00000256043
Crym,ENSG00000103316
Cadps2,ENSG00000081803
Trappc10,ENSG00000160218
Nup188,ENSG00000095319
Zfp521,ENSG00000198795
Zkscan6,ENSG00000154957
Zwint,ENSG00000122952
Upk1a,ENSG00000105668
Snx1,ENSG00000028528
Mlycd,ENSG00000103150
Mgmt,ENSG00000170430
Armc10,ENSG00000170632
Slc35a4,ENSG00000293600
Hopx,ENSG00000171476
Ifih1,ENSG00000115267
Trmt44,ENSG00000155275
Tox3,ENSG00000103460
Zfp87,ENSG00000197013
Wdr44,ENSG00000131725
Nelfb,ENSG00000188986
Osbpl2,ENSG00000130703
Lin52,ENSG00000205659
Prdm4,ENSG00000110851
Pappa,ENSG00000182752
Rbm3,ENSG00000102317
Bag5,ENSG00000166170
Hibadh,ENSG00000106049
Sumf2,ENSG00000129103
Mapk6,ENSG00000069956
Eva1b,ENSG00000142694
Prim1,ENSG00000198056
Angel1,ENSG00000013523
Fnbp1,ENSG00000187239
Eif4a1,ENSG00000161960
Gas2l1,ENSG00000185340
Nol8,ENSG00000198000
Plekha4,ENSG00000105559
Abcf1,ENSG00000204574
Zfp46,ENSG00000125945
Zfp622,ENSG00000173545
Ift81,ENSG00000122970
Prss36,ENSG00000178226
Nupr1,ENSG00000176046
Slc25a23,ENSG00000125648
Gimap5,ENSG00000196329
Zfp784,ENSG00000179922
Mkrn3,ENSG00000179455
Idh3a,ENSG00000166411
C1galt1,ENSG00000106392
Pgk1,ENSG00000102144
Rgl1,ENSG00000143344
Rybp,ENSG00000163602
Zfp664,ENSG00000179195
Mrps18b,ENSG00000204568
Pigt,ENSG00000124155
Prpf39,ENSG00000185246
Map4k4,ENSG00000071054
Hsd17b4,ENSG00000133835
Nmd3,ENSG00000169251
Fam212a,ENSG00000185614
Dnajb4,ENSG00000162616
Tes,ENSG00000135269
Otub1,ENSG00000167770
Rint1,ENSG00000135249
Tsg101,ENSG00000074319
Arrdc4,ENSG00000140450
Ogg1,ENSG00000114026
Stab2,ENSG00000136011
Ano5,ENSG00000171714
Ccdc150,ENSG00000144395
Igf1r,ENSG00000140443
Myzap,ENSG00000263155
Ip6k3,ENSG00000161896
Nqo1,ENSG00000181019
Anxa3,ENSG00000138772
Rab35,ENSG00000111737
Ctnna1,ENSG00000044115
Anp32a,ENSG00000140350
Gdi1,ENSG00000203879
Slc33a1,ENSG00000169359
Ankrd42,ENSG00000137494
Nusap1,ENSG00000137804
Plekha2,ENSG00000169499
Spsb3,ENSG00000162032
Cluap1,ENSG00000103351
Slc25a40,ENSG00000075303
Gata3,ENSG00000107485
2310057M21Rik,ENSG00000119965
Nfatc3,ENSG00000072736
Mon1b,ENSG00000103111
Traf7,ENSG00000131653
Trmt6,ENSG00000089195
Laptm4a,ENSG00000068697
Rpl10,ENSG00000147403
Sdk1,ENSG00000146555
Arfrp1,ENSG00000101246
Zfp114,ENSG00000159915
Rnf167,ENSG00000108523
Ppp1cc,ENSG00000186298
Xirp1,ENSG00000168334
1700052N19Rik,ENSG00000146476
Slc26a9,ENSG00000174502
Mrps27,ENSG00000113048
Aim1,ENSG00000164175
Herpud2,ENSG00000122557
Ddx20,ENSG00000064703
Fzd6,ENSG00000164930
Fam217b,ENSG00000196227
Itga4,ENSG00000115232
Gar1,ENSG00000109534
Rars,ENSG00000113643
Sumo1,ENSG00000116030
Banf1,ENSG00000175334
Sec14l4,ENSG00000133488
Sergef,ENSG00000129158
Sptlc2,ENSG00000100596
Dclre1c,ENSG00000152457
Ptbp2,ENSG00000117569
Ppp1r26,ENSG00000196422
Icosl,ENSG00000160223
Zfp474,ENSG00000164185
Tor1a,ENSG00000136827
Tmem127,ENSG00000135956
Adcy2,ENSG00000078295
Pias3,ENSG00000131788
Cnksr1,ENSG00000142675
Lrig2,ENSG00000198799
Plp1,ENSG00000123560
Olfml1,ENSG00000183801
Mavs,ENSG00000088888
Dcaf4,ENSG00000119599
Calcoco1,ENSG00000012822
Zbed5,ENSG00000232040
Dync2li1,ENSG00000138036
Cytl1,ENSG00000170891
Fam229b,ENSG00000203778
Fam122a,ENSG00000187866
Pcdhga7,ENSG00000253537
Misp,ENSG00000099812
Irak1bp1,ENSG00000146243
Foxn4,ENSG00000139445
Stk16,ENSG00000115661
Helz,ENSG00000198265
Asb3,ENSG00000115239
Padi3,ENSG00000142619
Arnt,ENSG00000143437
Polr2j,ENSG00000005075
