Mouse Gene Ranked,Mouse Gene Unranked,Human Ortholog Gene Symbol
Zfp39,Tspyl3,not found
Serp2,Lims2,ENSG00000072163
C78339,Morn2,ENSG00000188010
A130077B15Rik,Clta,ENSG00000122705
St3gal1,Tmem101,ENSG00000091947
Ythdc1,Hnrnpa3,ENSG00000170144
Gm20594,Pcdhgb6,ENSG00000253305
Nek7,C87436,ENSG00000115998
Phactr2,Nupl2,ENSG00000136243
1700003E16Rik,Lman2l,ENSG00000114988
Xrcc6bp1,Wac,ENSG00000095787
Eif3d,U2af1l4,ENSG00000161265
Car14,Strn3,ENSG00000196792
Ces2g,Tnk2,ENSG00000061938
Ttc34,Shisa3,ENSG00000178343
Fam117b,Tmed7,ENSG00000134970
Prickle3,Alad,ENSG00000148218
Nipa1,Ildr1,ENSG00000145103
Tpd52l1,Haus6,ENSG00000147874
Cdip1,Itga5,ENSG00000161638
Caml,Cmtr1,ENSG00000137200
Gli3,Ccdc62,ENSG00000130783
Erlin2,Vill,ENSG00000136059
Slc39a6,Mrto4,ENSG00000053372
E430025E21Rik,Gucy1a3,ENSG00000164116
Srms,Ptk2b,ENSG00000120899
Prpf19,Sdha,ENSG00000073578
Cebpz,D130043K22Rik,ENSG00000137261
Ubqln2,Pik3r4,ENSG00000196455
Phactr4,Mrfap1,ENSG00000179010
Mbd3,Mrfap1,ENSG00000170846
Nup153,Mrfap1,ENSG00000178988
Pebp1,Tekt2,ENSG00000092850
Tmem117,Lipo1,not found
C430049B03Rik,B930003M22Rik,error - retries exceeded
Shmt2,Cltb,ENSG00000175416
Klhl30,Reck,ENSG00000122707
Scgb3a2,Adck1,ENSG00000063761
Six5,Pttg1ip,ENSG00000183255
Nthl1,Ddah2,ENSG00000213722
Sass6,Plk4,ENSG00000142731
Unc45b,Zfp7,ENSG00000147789
Cmip,Cdkn2aipnl,ENSG00000237190
Arap1,Tlr9,ENSG00000239732
Tti1,Klf2,ENSG00000127528
Fam162a,Nrbp2,ENSG00000185189
Kdm5b,Lzts1,ENSG00000061337
Tapbp,Psmb7,ENSG00000136930
Plekha5,Carf,ENSG00000168564
Tmem216,Ccser2,ENSG00000107771
Asb4,4921506M07Rik,ENSG00000139865
Phf19,Gnb1,ENSG00000078369
Rps21,Galk2,ENSG00000156958
Ndufa11,Serhl,ENSG00000183569
Calm3,Bub3,ENSG00000154473
Mesdc1,Ehd4,ENSG00000103966
Pptc7,BC021614,error - retries exceeded
Mettl21e,Gpr160,ENSG00000173890
Sep-03,Slfn8,ENSG00000154760
Zfp800,Col25a1,ENSG00000188517
Bloc1s2,Dcdc2b,ENSG00000222046
Crcp,Nanp,ENSG00000170191
Ddhd2,Smpd5,not found
Papss2,Papd5,ENSG00000121274
Nfe2l3,Sorl1,ENSG00000137642
C130083M11Rik,Hook3,ENSG00000168172
Ehbp1l1,Svep1,ENSG00000165124
Mob1b,Clk1,ENSG00000013441
Skap2,Pcnxl4,ENSG00000126773
Msh2,Cisd2,ENSG00000145354
Nmnat3,Homez,ENSG00000290292
Lyz1,Ccdc129,ENSG00000180347
Mrpl33,Nck1,ENSG00000158092
Mapk1,Tmem109,ENSG00000110108
Prss53,Ftsj1,ENSG00000068438
Ormdl2,Tm9sf1,ENSG00000100926
Nrtn,Gm13154,ENSG00000196378
Nckap1,Atp5o,ENSG00000241837
Vtcn1,Clec4a3,ENSG00000198178
Slc25a11,Cntnap1,ENSG00000108797
Ftx,Pak1ip1,ENSG00000111845
Stxbp5,Pcdh17,ENSG00000118946
Rnf20,Hs6st2,ENSG00000171004
Spred1,Scarf2,ENSG00000244486
1700001L05Rik,Ube2j1,ENSG00000198833
Mfsd9,AI429214,ENSG00000164743
Ccdc24,Hmgxb4,ENSG00000100281
Nf2,Rab33b,ENSG00000172007
Pidd1,Gm12992,not found
Arrb1,Hgsnat,ENSG00000165102
Ccp110,Plxnc1,ENSG00000136040
Jarid2,Cav3,ENSG00000182533
Mar-05,Sirt4,ENSG00000089163
Taf5,Cnpy4,ENSG00000166997
Nabp1,Usp35,ENSG00000118369
Cldn3,Psenen,ENSG00000205155
C1qtnf1,Supt3,ENSG00000196284
Exoc3l4,Blnk,ENSG00000095585
Rslcan18,Ust,ENSG00000111962
Fut9,Samd8,ENSG00000156671
Gcnt4,Cd300e,ENSG00000186407
Psmd3,Cldn2,ENSG00000165376
Cdc25c,Trim36,ENSG00000152503
Pdik1l,Pcbp2,ENSG00000197111
Trpm4,Pianp,ENSG00000139200
Sep-07,Rhof,ENSG00000139725
Dync1li2,Fam198a,ENSG00000144649
Lax1,B3galnt1,ENSG00000169255
Gm6297,Rps9,ENSG00000170889
Ppm1h,Ubqln4,ENSG00000160803
Nfe2l1,Sec63,ENSG00000025796
Adap1,Exosc4,ENSG00000178896
D8Ertd738e,Tm7sf2,ENSG00000149809
Dnajc30,Crispld2,ENSG00000103196
Pex14,Pcdhgc3,ENSG00000240184
Mcur1,Zfp52,not found
Ciart,Taf1,ENSG00000122728
Zfp781,Taf1,ENSG00000147133
4932438A13Rik,Ubr4,ENSG00000127481
Klhdc3,Atp6v1g1,ENSG00000136888
Snx16,Lrch1,ENSG00000136141
Moap1,Arhgap23,ENSG00000275832
Lrrc39,Zfp770,ENSG00000198146
Gal3st4,Terf2ip,ENSG00000166848
Trappc6a,Cog5,ENSG00000164597
Gnb5,Cdk20,ENSG00000156345
Mina,Eif4ebp2,ENSG00000148730
Btbd2,Ssh1,ENSG00000084112
Arhgap9,Spata24,ENSG00000170469
Efcab14,Prdm1,ENSG00000057657
1700021K19Rik,Zfp513,ENSG00000163795
Rbm39,Abca6,ENSG00000154262
Capsl,BC005561,not found
Spin1,Sytl5,ENSG00000147041
Klf12,Thoc2,ENSG00000125676
Gemin2,Mrpl24,ENSG00000143314
Nog,Hlx,ENSG00000136630
Tarsl2,Upk1b,ENSG00000114638
Kif20b,Fmo5,ENSG00000131781
Car4,Lbh,ENSG00000213626
Vcl,Bhlhb9,ENSG00000198908
Dhx58,Bhlhb9,ENSG00000286237
B3gat2,Pycr1,ENSG00000183010
Anapc4,Cmss1,ENSG00000184220
Igsf10,Grpel2,ENSG00000164284
Abcb10,5730480H06Rik,ENSG00000163138
Unk,Kirrel3,ENSG00000149571
Atf7,Arpc4,ENSG00000241553
Enoph1,Mgat2,ENSG00000166391
4930444F02Rik,Bahcc1,ENSG00000266074
Rc3h1,Arhgef16,ENSG00000130762
Tmem87a,Tmem238,ENSG00000233493
Cdca7,Htr2a,ENSG00000102468
Mypn,Sep-06,error - retries exceeded
Bdh1,C330006A16Rik,ENSG00000238227
Psma7,Shoc2,ENSG00000108061
Snd1,Rab27a,ENSG00000069974
Tcf4,1700001C02Rik,ENSG00000173557
Trim46,Kpna1,ENSG00000114030
Polr2f,Zbtb42,ENSG00000179627
Aldh1a7,Ibsp,ENSG00000029559
Naa38,Exosc2,ENSG00000130713
Man2b1,Serpina3i,ENSG00000196136
Syne1,Ccdc109b,ENSG00000005059
Gm20554,Abr,ENSG00000159842
Ybx1,Irgm2,ENSG00000237693
Dnaaf2,Phlpp1,ENSG00000081913
Trub2,Arsa,ENSG00000198356
Zfp641,Them6,ENSG00000130193
Rgs4,Il6st,ENSG00000134352
Tmem230,Fam219a,ENSG00000164970
Twsg1,Nbeal2,ENSG00000160796
Tspan1,Gtf2a2,ENSG00000140307
Iars2,Cox4i1,ENSG00000131143
Eif6,Hmcn1,ENSG00000143341
Sgce,Xkr5,ENSG00000275591
Mecp2,Mitd1,ENSG00000158411
Ctdnep1,Morn5,ENSG00000185681
Adgb,Plekhb1,ENSG00000021300
Polr3g,Tcn2,ENSG00000185339
Cand1,Cpsf3l,ENSG00000127054
Dbndd1,Gm8787,not found
Rab39,Ssbp1,ENSG00000106028
Hagh,Idh2,ENSG00000182054
Gatad1,Fam84a,ENSG00000162981
Bcl7b,Kctd1,ENSG00000134504
B3gnt9,Pcdhgc5,ENSG00000240764
Adc,Gata5,ENSG00000130700
Ldlr,Rab8a,ENSG00000167461
Cyp1b1,Efr3b,ENSG00000084710
Tnn,Ralgps2,ENSG00000116191
Kazald1,Klf10,ENSG00000155090
Ap1b1,Dhcr24,ENSG00000116133
9030624G23Rik,Daf2,ENSG00000196352
Chrac1,AI413582,ENSG00000186577
Edem3,Pkd2,ENSG00000118762
Lin7c,Acat1,ENSG00000075239
Mar-09,Prkd1,ENSG00000184304
Dtna,P2ry12,ENSG00000169313
Dnase2a,Kiz,ENSG00000088970
Pld3,Usp5,ENSG00000111667
Nabp2,Zfp39,ENSG00000171827
Plekhg1,Txndc5,ENSG00000239264
Itm2b,Erp29,ENSG00000089248
Fbxl14,A130077B15Rik,not found
Bcs1l,Zfp462,ENSG00000148143
Edc4,Ciao1,ENSG00000144021
Rcc1,Gm20594,not found
Mtf2,Lmf2,ENSG00000100258
Smyd1,Trmt10b,ENSG00000165275
Gse1,Nckipsd,ENSG00000213672
4632415L05Rik,Serp2,ENSG00000151778
Ear1,1700003E16Rik,ENSG00000284308
Kctd2,C78339,ENSG00000137414
Guf1,Nek7,ENSG00000151414
Xrcc1,Ythdc1,ENSG00000083896
Isca1,Phactr2,ENSG00000112419
Triobp,Xrcc6bp1,ENSG00000166896
Bola2,Eif3d,ENSG00000100353
Fam161a,St3gal1,ENSG00000008513
Cd276,Car14,ENSG00000118298
Gfod2,Fam117b,ENSG00000138439
Gsdmd,Ttc34,ENSG00000215912
Adra1a,Cdip1,ENSG00000089486
Pdia4,Erlin2,ENSG00000147475
Ccnd3,Prickle3,ENSG00000012211
Bag4,Caml,ENSG00000164615
Mapk1ip1,Tpd52l1,ENSG00000111907
Ccdc96,Ces2g,ENSG00000172831
Bckdha,Slc39a6,ENSG00000141424
Wnt7a,Nipa1,ENSG00000170113
Rab10os,E430025E21Rik,ENSG00000164961
4833439L19Rik,Srms,ENSG00000125508
Chml,C430049B03Rik,not found
Fkbp14,Ubqln2,ENSG00000188021
Eva1c,Gli3,ENSG00000106571
Uhrf1bp1,Prpf19,ENSG00000110107
Smndc1,Cebpz,ENSG00000115816
Fam168b,Scgb3a2,ENSG00000164265
Uqcr10,Mbd3,ENSG00000071655
Rbm15b,Phactr4,ENSG00000204138
Slc35c2,Tmem117,ENSG00000139173
Ppfia2,Pebp1,not found
Celf3,Shmt2,ENSG00000182199
Pcdhga6,Six5,ENSG00000177045
Rpl18a,Fam162a,ENSG00000114023
Fbp1,Nthl1,ENSG00000065057
Chchd5,Klhl30,ENSG00000168427
Dcun1d3,Cmip,ENSG00000153815
Ece2,Nup153,ENSG00000124789
Osbpl11,Sass6,ENSG00000156876
Yae1d1,Unc45b,ENSG00000141161
Gm13152,Arap1,ENSG00000186635
Tomm70a,Tti1,ENSG00000101407
Pdcd11,Tapbp,ENSG00000231925
Zfp937,Rps21,ENSG00000171858
Vps4a,Asb4,ENSG00000005981
Kif1a,Tmem216,ENSG00000187049
Sapcd2,Ndufa11,ENSG00000174886
E230016M11Rik,Phf19,ENSG00000119403
Ahcyl2,Calm3,ENSG00000160014
Chil1,Mettl21e,ENSG00000250878
Rnf138,Kdm5b,ENSG00000117139
Ndufa8,Mesdc1,ENSG00000140406
Dsp,Pptc7,ENSG00000196850
Wiz,Crcp,ENSG00000241258
Fancm,Bloc1s2,ENSG00000196072
Top2a,Plekha5,ENSG00000052126
Ccna2,Ddhd2,ENSG00000085788
Tnfaip8,Papss2,ENSG00000198682
Cox6b1,Mob1b,ENSG00000173542
Zc3h6,Zfp800,ENSG00000048405
Iba57,Skap2,ENSG00000005020
Tomm40l,Lyz1,not found
Dusp9,Nmnat3,ENSG00000163864
Fkbp1a,Ehbp1l1,ENSG00000173442
Ccng2,Nfe2l3,ENSG00000050344
Slc25a26,Mrpl33,ENSG00000243147
Timm8b,Msh2,ENSG00000095002
Map3k9,Ormdl2,ENSG00000123353
Vac14,Prss53,ENSG00000151006
Atp13a2,C130083M11Rik,not found
Itk,Nrtn,ENSG00000171119
Ppp1r12a,1700001L05Rik,not found
Pld4,Slc25a11,ENSG00000108528
Tram1,Vtcn1,ENSG00000134258
Ucp2,Nckap1,ENSG00000061676
Kcnk12,Mapk1,ENSG00000100030
Gna13,Spred1,ENSG00000166068
Akap2,Arrb1,ENSG00000137486
Morc2a,Ccdc24,ENSG00000159214
Parpbp,Nf2,ENSG00000186575
Tkt,Rnf20,ENSG00000155827
Ctsb,Pidd1,ENSG00000177595
Prdm15,Mfsd9,ENSG00000135953
Dennd4c,Ccp110,ENSG00000103540
Fam188b,Nabp1,ENSG00000173559
Coq10a,Cldn3,ENSG00000165215
Utp14a,Stxbp5,ENSG00000164506
Uck2,Taf5,ENSG00000148835
Cyp2r1,C1qtnf1,ENSG00000173918
Qdpr,Cdc25c,ENSG00000158402
Cmtr2,Rslcan18,ENSG00000197013
Tnfsf18,Psmd3,ENSG00000108344
Serpine2,Jarid2,ENSG00000008083
Fn1,Ftx,not found
1110008F13Rik,Gcnt4,ENSG00000176928
Cd300lh,Gm6297,not found
AW549542,Exoc3l4,ENSG00000205436
Ccnf,Lax1,ENSG00000122188
Psme4,Pdik1l,ENSG00000175087
1700016K19Rik,Dync1li2,ENSG00000135720
C330013F16Rik,D8Ertd738e,ENSG00000104979
Kdm4c,Trpm4,ENSG00000130529
Unkl,Nfe2l1,ENSG00000082641
Szrd1,Ppm1h,ENSG00000111110
Trim21,Fut9,ENSG00000172461
Shc1,Dnajc30,ENSG00000176410
4930433N12Rik,Zfp781,not found
Klhl28,Pex14,ENSG00000142655
Mrps14,Mcur1,ENSG00000050393
Dnmt3a,Ciart,ENSG00000159208
Kansl3,Adap1,ENSG00000105963
Atf3,Klhdc3,ENSG00000124702
Leprel1,Snx16,ENSG00000104497
Gcsh,Gal3st4,ENSG00000197093
Ccdc11,4932438A13Rik,ENSG00000138688
2310034G01Rik,Lrrc39,ENSG00000122477
Esrra,Trappc6a,ENSG00000007255
Zfp488,Moap1,ENSG00000165943
Aspscr1,Sep-03,error - retries exceeded
A830010M20Rik,Mina,ENSG00000170854
Btla,1700021K19Rik,ENSG00000145016
Bgn,Btbd2,ENSG00000133243
Bag6,Arhgap9,ENSG00000123329
Mtus2,Gnb5,ENSG00000069966
Hoxa5,Efcab14,ENSG00000159658
Usp7,Capsl,ENSG00000152611
Ppp3cb,Rbm39,ENSG00000131051
Rbm38,Spin1,ENSG00000106723
Pot1a,Nog,ENSG00000183691
Gstm6,Gemin2,ENSG00000092208
Lman2,Klf12,ENSG00000118922
Arhgef2,Tarsl2,ENSG00000185418
Sep-15,Mar-05,error - retries exceeded
Hip1,Car4,ENSG00000167434
Cmpk2,Anapc4,ENSG00000053900
Zfp148,B3gat2,ENSG00000112309
Elf4,4930444F02Rik,not found
Dpp3,Kif20b,ENSG00000138182
Nudt2,Igsf10,ENSG00000152580
Mta2,Dhx58,ENSG00000108771
Mfap1b,Mypn,not found
Tdg,Vcl,ENSG00000035403
Yaf2,Abcb10,ENSG00000135776
Cep162,Enoph1,ENSG00000145293
Cdkal1,Unk,ENSG00000132478
Mthfd2,Psma7,ENSG00000101182
Adamts17,Sep-07,error - retries exceeded
Kif2c,Tmem87a,ENSG00000103978
Park2,Cdca7,ENSG00000144354
Foxd2os,Rc3h1,ENSG00000135870
Car3,Snd1,ENSG00000197157
Khdrbs3,Bdh1,ENSG00000161267
Pdzd11,Polr2f,ENSG00000100142
Babam1,Atf7,ENSG00000169136
Nlgn3,Naa38,ENSG00000183011
Atg10,Aldh1a7,ENSG00000128918
Rab8b,Gm20554,not found
B630005N14Rik,Ybx1,ENSG00000065978
Snta1,Trim46,ENSG00000163462
Gpbp1,Trub2,ENSG00000167112
Fryl,Dnaaf2,ENSG00000165506
Pcdhgb7,Man2b1,ENSG00000104774
Lonrf1,Tcf4,ENSG00000101076
Egfl6,Tspan1,ENSG00000117472
Tmem175,Zfp641,ENSG00000167528
Gtf3c2,Twsg1,ENSG00000128791
Sgta,Rgs4,ENSG00000117152
Fank1,Syne1,ENSG00000131018
Mrps2,Tmem230,ENSG00000089063
Wars2,Eif6,ENSG00000242372
Phtf2,Polr3g,not found
E030019B13Rik,Ctdnep1,ENSG00000175826
Atxn1l,Iars2,ENSG00000067704
Myo19,Mecp2,ENSG00000169057
Faim,Cand1,ENSG00000111530
C2cd2l,Sgce,ENSG00000127990
Apoo,Rab39,ENSG00000179331
Coro2a,Hagh,ENSG00000063854
Ttll7,Gatad1,ENSG00000157259
Adamtsl2,Adc,ENSG00000142920
Taldo1,Ldlr,ENSG00000130164
Pspc1,Adgb,ENSG00000118492
Cers5,Dbndd1,ENSG00000003249
Cx3cr1,B3gnt9,ENSG00000237172
Zfp595,Bcl7b,ENSG00000106635
Rims2,9030624G23Rik,not found
Pold3,Cyp1b1,ENSG00000138061
Tspan7,Chrac1,ENSG00000104472
Arhgap42,Kazald1,ENSG00000107821
Pnpla3,Ap1b1,ENSG00000100280
Slc28a2,Dnase2a,ENSG00000105612
Abhd16a,Lin7c,ENSG00000148943
Shisa6,Nabp2,ENSG00000139579
Trp53i13,Dtna,ENSG00000134769
9930012K11Rik,Tnn,ENSG00000067445
Klhl25,Edem3,ENSG00000116406
Cnpy2,Pld3,ENSG00000105223
Kcnq1ot1,Fbxl14,ENSG00000171823
Fam49b,4632415L05Rik,not found
Ptprv,Itm2b,ENSG00000136156
F2rl2,Bcs1l,ENSG00000074582
Myom2,Plekhg1,ENSG00000120278
Mtx3,Rcc1,ENSG00000180198
Tmem180,Ear1,ENSG00000169397
Cideb,Ear1,ENSG00000169385
Pdcd6ip,Mtf2,ENSG00000143033
C920006O11Rik,Edc4,ENSG00000038358
Cog3,Smyd1,ENSG00000115593
Wasf1,Isca1,ENSG00000135070
Mtfr1l,Gse1,ENSG00000131149
Atp10d,Xrcc1,ENSG00000073050
Kif17,Bola2,ENSG00000169627
Pex19,Bola2,ENSG00000183336
Mira,Guf1,ENSG00000151806
Gm15706,Kctd2,ENSG00000180901
Ccna1,Cd276,ENSG00000103855
Ntm,Gfod2,ENSG00000141098
Rgp1,Gsdmd,ENSG00000104518
Rab1,Triobp,ENSG00000100106
Foxq1,Fam161a,ENSG00000170264
Nom1,Mapk1ip1,ENSG00000168175
Pacrg,Bag4,ENSG00000156735
Adamtsl1,Pdia4,ENSG00000155660
Ndufaf1,Ccdc96,not found
Tfrc,Rab10os,not found
Ip6k1,Ccnd3,ENSG00000112576
Utp18,Eva1c,ENSG00000166979
Wdr16,Wnt7a,ENSG00000154764
Ubl7,Fkbp14,ENSG00000106080
Sec61g,Chml,ENSG00000203668
Nckap5l,Smndc1,ENSG00000119953
Ncoa7,Bckdha,ENSG00000248098
D630045J12Rik,4833439L19Rik,ENSG00000122203
Pla2g12a,Uqcr10,ENSG00000184076
Txndc12,Uhrf1bp1,ENSG00000065060
Psmd14,Slc35c2,ENSG00000080189
Kif5b,Pcdhga6,ENSG00000253731
Sfrp1,Adra1a,ENSG00000171873
Zadh2,Rbm15b,ENSG00000259956
Topors,Fam168b,ENSG00000152102
Usp3,Celf3,ENSG00000159409
Klhdc7a,Ppfia2,ENSG00000139220
Smad1,Dcun1d3,ENSG00000188215
Isoc2a,Gm13152,not found
Zfp618,Chchd5,ENSG00000125611
Kctd5,Osbpl11,ENSG00000144909
Rundc3b,Ece2,ENSG00000145194
2410004N09Rik,Rpl18a,ENSG00000063177
Gpr19,Tomm70a,ENSG00000154174
Epb4.1l1,Zfp937,not found
Muc6,Mar-09,error - retries exceeded
Lgals12,Sapcd2,ENSG00000186193
Znrf2,Fbp1,ENSG00000187239
Cbx4,Kif1a,ENSG00000130294
Mfsd7c,Vps4a,ENSG00000132612
Iars,Yae1d1,ENSG00000241127
Btbd8,Chil1,ENSG00000133048
Alg3,Ndufa8,ENSG00000119421
Brd2,Pdcd11,ENSG00000148843
Wipf2,Rnf138,ENSG00000134758
Sycp1,Cox6b1,ENSG00000126267
Lsp1,Tnfaip8,ENSG00000145779
Wdr59,Ahcyl2,ENSG00000158467
Grb10,Ccna2,ENSG00000145386
Mrpl32,Top2a,ENSG00000131747
Rqcd1,Iba57,ENSG00000181873
Mob3c,Dusp9,ENSG00000130829
Gm15760,Fancm,ENSG00000187790
Dtnb,Tomm40l,ENSG00000158882
Csnk2a1,Wiz,ENSG00000011451
Mgme1,Zc3h6,ENSG00000188177
Dcxr,Fkbp1a,ENSG00000088832
Ermard,Fkbp1a,ENSG00000198225
Ulk3,Dsp,ENSG00000152591
Pcyox1,Timm8b,ENSG00000150779
Pir,Slc25a26,ENSG00000144741
Igf1,Itk,ENSG00000113263
Fastkd2,Atp13a2,ENSG00000159363
Aspm,Map3k9,ENSG00000006432
Ppp2r5e,Ccng2,ENSG00000138764
Jmjd4,Vac14,ENSG00000103043
1700019G17Rik,Pld4,ENSG00000166428
Mccc2,Ucp2,ENSG00000175567
Rrp12,E230016M11Rik,not found
Ndufa6,Ppp1r12a,ENSG00000058272
Ankrd28,Parpbp,ENSG00000185480
Rnf157,Kcnk12,ENSG00000184261
Serpina9,Morc2a,ENSG00000133422
Rpl35a,Gna13,ENSG00000120063
Hspa2,Tkt,ENSG00000163931
Tmem136,Ctsb,ENSG00000164733
Pfkl,Tram1,ENSG00000067167
Cdk7,Prdm15,ENSG00000141956
Rhobtb2,Coq10a,ENSG00000135469
Rassf2,Akap2,ENSG00000157654
Krit1,Fam188b,ENSG00000106125
Ssfa2,Dennd4c,ENSG00000137145
A530054K11Rik,1110008F13Rik,ENSG00000101084
Il11ra1,Qdpr,ENSG00000151552
Rps24,Cmtr2,ENSG00000180917
Kctd9,AW549542,not found
Mdm2,Tnfsf18,ENSG00000120337
Nup133,1700016K19Rik,ENSG00000187624
Bfar,Utp14a,ENSG00000253797
Abcd3,Utp14a,ENSG00000156697
Bre,Cd300lh,ENSG00000186074
Kif14,Serpine2,ENSG00000135919
Rps6kb2,Uck2,ENSG00000143179
1110032A03Rik,Cyp2r1,ENSG00000186104
Nadk,4930433N12Rik,not found
Trim55,Ccnf,ENSG00000162063
Slc39a11,Trim21,ENSG00000132109
Pgp,Szrd1,ENSG00000055070
Vmac,Fn1,ENSG00000115414
Gabra3,Unkl,ENSG00000059145
Ankrd13d,Shc1,ENSG00000160691
Snx21,Psme4,ENSG00000068878
Fgf13,Ccdc11,not found
Ppp3r1,Klhl28,ENSG00000179454
Ints5,Atf3,ENSG00000162772
Clip2,2310034G01Rik,ENSG00000120055
Elp6,Dnmt3a,ENSG00000119772
Zfp747,Kdm4c,ENSG00000107077
Ndufs6,Gcsh,ENSG00000140905
Sipa1,Mrps14,ENSG00000120333
Perm1,Esrra,ENSG00000173153
Ap4s1,Kansl3,ENSG00000114982
Ckm,Zfp488,ENSG00000265763
Zswim3,Leprel1,ENSG00000090530
Mospd2,Btla,ENSG00000186265
Rrp8,Aspscr1,ENSG00000169696
Hnrnpab,A830010M20Rik,ENSG00000189195
Trp53inp2,Bgn,ENSG00000182492
Ecd,Bag6,ENSG00000204463
Wdr41,Gstm6,ENSG00000134184
Tubgcp5,Hoxa5,ENSG00000106004
Fgf1,Rbm38,ENSG00000132819
Ets1,Pot1a,ENSG00000128513
9430020K01Rik,Ppp3cb,ENSG00000107758
Ndufa4l2,Mtus2,ENSG00000132938
Kbtbd8,Elf4,ENSG00000102034
Rxfp1,Cmpk2,ENSG00000134326
Fbxo27,Lman2,ENSG00000169223
Ugt1a7c,Usp7,ENSG00000187555
Cops8,Dpp3,ENSG00000254986
Gstt2,Zfp148,ENSG00000163848
Cdipt,Arhgef2,ENSG00000116584
Efna5,Nudt2,ENSG00000164978
D930020B18Rik,Yaf2,ENSG00000015153
Rem2,Mta2,ENSG00000149480
Eef1a2,Hip1,ENSG00000127946
Slain1,Mfap1b,ENSG00000140259
Tmcc1,Mthfd2,ENSG00000065911
Pdcl,Tdg,ENSG00000139372
Atg3,C330013F16Rik,not found
Gm3002,Cdkal1,ENSG00000145996
Pmpcb,Cep162,ENSG00000135315
Rad51b,Adamts17,ENSG00000140470
Casq1,Kif2c,ENSG00000142945
Kti12,Foxd2os,not found
4931428F04Rik,Park2,ENSG00000185345
Gab3,Pdzd11,ENSG00000120509
Plekhb2,Khdrbs3,ENSG00000131773
Ndnf,Babam1,ENSG00000105393
St3gal3,Car3,ENSG00000164879
Eif5b,Gpbp1,ENSG00000062194
Fam154b,Atg10,ENSG00000152348
Cenpw,Pcdhgb7,ENSG00000254122
Gif,Rab8b,ENSG00000166128
Trnp1,Snta1,ENSG00000101400
Polr2e,B630005N14Rik,ENSG00000164603
Apbb1,Nlgn3,ENSG00000196338
Phldb1,Lonrf1,ENSG00000154359
Tmem79,Egfl6,ENSG00000198759
Ccdc85b,Gtf3c2,ENSG00000115207
Ttc21b,E030019B13Rik,not found
Them4,Sgta,ENSG00000104969
Cd164,Fryl,ENSG00000075539
Arid4b,Mrps2,ENSG00000122140
Psd,Tmem175,ENSG00000127419
Letm1,Fank1,ENSG00000203780
Agpat5,Wars2,ENSG00000116874
Ssna1,Phtf2,ENSG00000006576
Sec24c,Atxn1l,ENSG00000224470
Ahcy,Faim,ENSG00000158234
Ryr2,Myo19,ENSG00000278259
Slc8a2,Taldo1,ENSG00000177156
Lig3,Apoo,not found
Agmo,Ttll7,ENSG00000137941
Rsph9,Adamtsl2,ENSG00000197859
Gnb2,Coro2a,ENSG00000106789
Rrm2,C2cd2l,ENSG00000172375
Adh7,Pold3,not found
Minpp1,Cx3cr1,ENSG00000168329
Rsrc1,Pspc1,ENSG00000121390
Myo1d,Zfp595,ENSG00000197124
Cd3d,Zfp595,ENSG00000214652
Ptgfr,Zfp595,ENSG00000196172
Rb1,Zfp595,ENSG00000181450
Slc36a1os,Zfp595,ENSG00000105750
Lsr,Zfp595,ENSG00000234444
Tmem8b,Zfp595,ENSG00000196081
Tcf25,Zfp595,ENSG00000172687
Rnpep,Zfp595,ENSG00000197472
Cyp4f16,Cers5,ENSG00000139624
Zfp429,Slc28a2,ENSG00000137860
Zfp703,Abhd16a,ENSG00000204427
Pdzk1ip1,Sep-15,error - retries exceeded
B9d2,Pnpla3,ENSG00000100344
Fancg,9930012K11Rik,ENSG00000241852
Zbtb8a,Tspan7,ENSG00000156298
Zfp560,Rims2,ENSG00000176406
Cpm,Cnpy2,ENSG00000257727
Swsap1,Trp53i13,ENSG00000167543
Pwp2,Arhgap42,ENSG00000165895
Perp,Ptprv,not found
2610018G03Rik,Klhl25,ENSG00000183655
Mier3,Pdcd6ip,not found
Gm1943,Mtx3,ENSG00000177034
Cers2,Cideb,ENSG00000136305
Zfp791,Fam49b,ENSG00000153310
Col27a1,F2rl2,ENSG00000164220
Smpx,C920006O11Rik,not found
Nr1d1,Shisa6,ENSG00000188803
Rsph4a,Tmem180,ENSG00000138111
Bcl10,Myom2,ENSG00000036448
Sos1,Pex19,ENSG00000162735
Col16a1,Mtfr1l,ENSG00000117640
Kctd18,Cog3,ENSG00000136152
Dhrs3,Kif17,ENSG00000117245
Ddx28,Gm15706,not found
Tmem159,Wasf1,ENSG00000112290
Eln,Atp10d,ENSG00000145246
Kifc1,Rab1,ENSG00000138069
Phldb3,Ntm,ENSG00000182667
Tubgcp4,Rgp1,ENSG00000107185
9430091E24Rik,Nom1,ENSG00000146909
Ubtd2,Foxq1,ENSG00000164379
Hhatl,Pacrg,ENSG00000112530
Ccdc13,Ccna1,ENSG00000133101
Fah,Ndufaf1,ENSG00000137806
Pdss2,Sec61g,ENSG00000132432
Nop56,Wdr16,ENSG00000166596
Glrx3,Adamtsl1,ENSG00000178031
Prkab1,Ip6k1,ENSG00000176095
Zfp428,Utp18,ENSG00000011260
Uckl1os,Tfrc,ENSG00000072274
Kif11,Txndc12,ENSG00000117862
Vwa5a,Ubl7,ENSG00000138629
Flrt3,Pla2g12a,ENSG00000123739
Pabpc4,D630045J12Rik,ENSG00000122778
