Mouse Genes Ranked,Mouse Genes Unranked,Human Ortholog Symbol
Hnrnpll,Lxn,ENSG00000079257
Il4ra,Mycn,ENSG00000134323
Fbxw9,Tmem67,ENSG00000164953
Csrp3,Ldhd,ENSG00000166816
Hps4,Dnajc21,ENSG00000168724
Dclre1a,Slc22a4,ENSG00000197208
Oxr1,Nipal2,ENSG00000104361
Fbln2,Slc10a3,ENSG00000126903
Flna,Rhot2,ENSG00000140983
Fbxl20,Specc1,ENSG00000128487
Mrvi1,Msra,ENSG00000175806
Rps17,Tmem242,ENSG00000215712
Gm14322,Adam9,ENSG00000168615
Tmem212,Klf15,ENSG00000163884
Ptpn12,Zbtb4,ENSG00000174282
Plbd1,Ttll12,ENSG00000100304
Thbs1,Plekhg5,ENSG00000171680
Fiz1,Gnl2,ENSG00000134697
Zfp583,Cdkl2,ENSG00000138769
Rbfa,Cttnbp2,ENSG00000077063
Col28a1,Myo3b,ENSG00000071909
Tshz2,Wdr46,ENSG00000227057
Rbm41,Tmem100,ENSG00000166292
Sgk3,Spdef,ENSG00000124664
Skiv2l,Pcdhga5,ENSG00000253485
Znrf3,Psmg1,ENSG00000183527
Fam132a,Tcp11l1,ENSG00000176148
Cav1,Adh1,ENSG00000248144
4930513N10Rik,Gpatch2l,ENSG00000089916
Acadl,Grhpr,ENSG00000137106
Frmpd1,Terf2,ENSG00000132604
Tsku,Recql,ENSG00000004700
Wipi2,Mtmr11,ENSG00000014914
Timm50,Gcnt1,ENSG00000187210
Suv420h1,Lnp,ENSG00000144320
Pm20d2,Dnajc14,ENSG00000135392
Tgif2,Pdhx,ENSG00000110435
Rangap1,Spryd4,ENSG00000176422
Pex6,Osgepl1,ENSG00000128694
Prom2,Tm2d1,ENSG00000162604
Aamdc,Mcmdc2,ENSG00000178460
Cacna1g,Stx11,ENSG00000135604
Wdr1,Spire2,ENSG00000204991
Lhfp,Zfp365,ENSG00000138311
Abat,Clybl,ENSG00000125246
Kcnq5,Fam195a,ENSG00000172366
Hs2st1,Rfxank,ENSG00000064490
Gm3500,Tmem234,ENSG00000160055
Esf1,Spata5,ENSG00000145375
Rnf214,Nbr1,ENSG00000188554
Uchl1,Kcnk6,ENSG00000099337
St13,Chodl,ENSG00000154645
Icam1,1700021K19Rik,ENSG00000145016
Ctdspl2,Capn12,ENSG00000182472
Atrip,Chmp4c,ENSG00000164695
Eif2b2,Cdc42bpg,ENSG00000171219
Ywhag,Lpxn,ENSG00000110031
Grn,Prmt7,ENSG00000132600
Vamp4,Arl16,ENSG00000214087
Rnf219,Dnajb6,ENSG00000105993
Tmed9,Oxsm,ENSG00000151093
Siva1,Fbln7,ENSG00000144152
Creg1,Gjc2,ENSG00000198835
Gpnmb,Terf2ip,ENSG00000166848
Ddost,Gpr137b,ENSG00000077585
Alg1,Cyp4b1,ENSG00000142973
Aldh1l1,Hexim1,ENSG00000186834
Dsel,Tjp2,ENSG00000119139
Bcr,P2ry10,ENSG00000078589
Tmprss13,Acot8,ENSG00000101473
Myh9,Rltpr,ENSG00000159753
Psph,Fras1,ENSG00000138759
Atrn,Itih3,ENSG00000162267
Slco2a1,Wdr75,ENSG00000115368
Ppp2r2d,Diablo,ENSG00000184047
Dna2,Znrf3,ENSG00000183579
Mrpl45,Kmt2c,ENSG00000055609
Bbs5,Tmem125,ENSG00000179178
Ptgir,Echdc2,ENSG00000121310
Dcx,Rspo3,ENSG00000146374
Zfp326,S1pr5,ENSG00000180739
Dock10,Abcc10,ENSG00000124574
Nme6,Lrch4,ENSG00000077454
Fhl1,Syne1,ENSG00000131018
Grwd1,Kank1,ENSG00000107104
Stk39,Fbxo40,ENSG00000163833
Gtf3c3,Setd2,ENSG00000181555
Mkl2,Cox16,ENSG00000133983
Hmgcr,Eea1,ENSG00000102189
Taf4b,Bag4,ENSG00000156735
Bet1l,Dync2li1,ENSG00000138036
Tada1,Rai14,ENSG00000039560
Armcx1,Ap5m1,ENSG00000053770
Fnip2,Dact3,ENSG00000197380
3110052M02Rik,Ears2,ENSG00000103356
Synj2bp,Akr7a5,ENSG00000211454
Clspn,Lemd2,ENSG00000161904
Meaf6,Grpel2,ENSG00000164284
1810058I24Rik,Smco3,ENSG00000179256
Hmgn3,Dtx2,ENSG00000091073
Atp6v1b1,Itga4,ENSG00000115232
Cdc23,Pcdh1,ENSG00000156453
Tlk1,Ccdc112,ENSG00000164221
Cc2d2a,Pdp2,ENSG00000172840
Insr,Cpm,ENSG00000135678
Abhd11os,Bnipl,ENSG00000163141
Psap,Frmd7,ENSG00000165694
Clec2i,Pcdhga3,ENSG00000254245
Rspry1,Bag3,ENSG00000151929
Svip,Prkag3,ENSG00000115592
Tmem252,Evi5,ENSG00000067208
Vkorc1l1,Pdgfd,ENSG00000170962
Ctps2,Pef1,ENSG00000162517
Srpk1,Ankrd9,ENSG00000156381
Phf5a,Trim55,ENSG00000147573
Notch1,Tmem14a,ENSG00000096092
Raph1,Nnmt,ENSG00000166741
Srbd1,Pik3ap1,ENSG00000155629
Slc4a1ap,Clpp,ENSG00000125656
Cacna1a,Mettl7a1,ENSG00000185432
Gm14057,Fam73a,ENSG00000180488
Zfp157,Npm3,ENSG00000107833
Depdc1a,Camsap1,ENSG00000130559
H2-Ke6,Moxd1,ENSG00000079931
Ntmt1,Mrpl14,ENSG00000180992
Fbln5,Usp19,ENSG00000172046
Mocs2,Tmem14c,ENSG00000111843
Gltp,Nol6,ENSG00000165271
Ankrd13a,Spi1,ENSG00000066336
Cep19,Acsl1,ENSG00000151726
Fam76b,Atp2b4,ENSG00000058668
Smim19,Rxfp1,ENSG00000171509
Prodh,Mmp28,ENSG00000271447
Rarb,Bbx,ENSG00000114439
Ccdc60,Slc24a5,ENSG00000188467
Ace,Pyroxd1,ENSG00000121350
Tceal1,Cnp,ENSG00000173786
Btd,Dnaic2,ENSG00000171595
Runx3,4930402H24Rik,ENSG00000088854
Spidr,Arhgef19,ENSG00000142632
Polr3e,Gdpd2,ENSG00000130055
Xab2,Ccdc28a,ENSG00000024862
Taf9b,Fam151b,ENSG00000152380
Gm3893,Zfp30,ENSG00000120784
A330021E22Rik,Zfp644,ENSG00000122482
Cyp11a1,Atf6,ENSG00000118217
Supt5,Armcx1,ENSG00000126947
Ttc13,Tmppe,ENSG00000188167
Sfta2,Aagab,ENSG00000103591
Dixdc1,Chst3,ENSG00000122863
Mast2,Wbp1,ENSG00000239779
Rtkn,Cebpd,ENSG00000221869
Rfc2,Mocs1,ENSG00000124615
Ctage5,Arg2,ENSG00000081181
Hipk2,Adck4,ENSG00000123815
Extl1,Cpxm1,ENSG00000088882
Crtap,Mitd1,ENSG00000158411
Rbp1,Atg2a,ENSG00000110046
Tmem263,Hspb11,ENSG00000081870
Fam228b,Slc25a45,ENSG00000162241
Cd200r1,Hinfp,ENSG00000172273
Elk4,Htra2,ENSG00000115317
Foxo4,Stk36,ENSG00000163482
Atp6v1b2,Yif1b,ENSG00000167645
Fosl1,Rapgef5,ENSG00000136237
Dhfr,Plce1,ENSG00000138193
Hmgxb3,E130309D14Rik,ENSG00000277200
Fbxo40,Slc16a6,ENSG00000108932
Lrrk1,Hsf1,ENSG00000185122
Atp1b2,Pgap3,ENSG00000161395
Usp39,Arhgef7,ENSG00000102606
Spire1,Sgpl1,ENSG00000166224
Nmrk2,Vipr1,ENSG00000114812
Efna2,Rmdn3,ENSG00000137824
Iqck,Upf3b,ENSG00000125351
Mcm6,Ybx3,ENSG00000060138
Prc1,Socs4,ENSG00000170677
Rgs19,Socs6,ENSG00000170677
Rap1gds1,Tatdn3,ENSG00000203705
Ly6c2,Snapc3,ENSG00000164975
Fcgr1,Tpgs2,ENSG00000134779
Lrrc57,Med26,ENSG00000105085
Tspan3,Gga2,ENSG00000103365
Trmt2b,Vkorc1,ENSG00000167397
Bysl,Zc3hc1,ENSG00000091732
Ccdc102a,Ttc37,ENSG00000198677
Yod1,Rgs16,ENSG00000143333
Cnr1,Casp6,ENSG00000138794
Stat2,Ebna1bp2,ENSG00000117395
Lpar1,Arhgap28,ENSG00000088756
Maged1,Cnppd1,ENSG00000115649
Tmem168,Mpi,ENSG00000178802
D3Bwg0562e,Mfsd4,ENSG00000174514
Ankrd9,Sass6,ENSG00000156876
Mcm7,Dlc1,ENSG00000164741
Jag1,Alkbh3,ENSG00000166199
Nfatc4,Nxnl2,ENSG00000130045
Ercc4,Hmgn3,ENSG00000118418
E130307A14Rik,Rsad1,ENSG00000136444
Ascc3,Pcdhgb5,ENSG00000276547
Lpcat3,Nmral1,ENSG00000153406
Capn12,Cyba,ENSG00000051523
Stbd1,Spata2,ENSG00000158480
Gnaq,Zfyve21,ENSG00000100711
Col4a1,Scaf1,ENSG00000126461
Gpr27,Ncf2,ENSG00000116701
Neurl1b,Pisd,ENSG00000241878
Susd3,Aurkb,ENSG00000178999
Spn,Tmem51,ENSG00000171729
Gm11627,Ttc27,ENSG00000018699
Gprasp2,Armc4,ENSG00000169126
Usp34,Lamc2,ENSG00000058085
Mrpl30,Xbp1,ENSG00000100219
Fbxw4,Ddx10,ENSG00000178105
Scd4,Mrpl17,ENSG00000158042
Mbp,Arhgef11,ENSG00000132694
Vsig2,Atp2c2,ENSG00000064270
Zfp184,Rasgrf1,ENSG00000058335
Rnf24,Tbc1d32,ENSG00000146350
Abcf2,Plekhj1,ENSG00000104886
Muc20,Dtwd2,ENSG00000169570
5730409E04Rik,Ddx54,ENSG00000123064
Mfsd6l,Kcnk13,ENSG00000152315
Adck5,Ngly1,ENSG00000151092
Ywhaz,Ubxn2a,ENSG00000173960
Nagk,Kcne2,ENSG00000159197
Col5a1,Nfkbib,ENSG00000104825
Erh,1700007G11Rik,ENSG00000197826
Pdk1,Pcdhga7,ENSG00000253537
Slc3a2,Chchd5,ENSG00000125611
Canx,Ffar2,ENSG00000126262
Liph,Tpd52,ENSG00000076554
Slc26a2,Efhc1,ENSG00000096093
Rab28,Dtd2,ENSG00000129480
Smarcc2,Grtp1,ENSG00000139835
Chd4,Clec11a,ENSG00000105472
Gm15708,Adap2,ENSG00000184060
Lysmd1,Ermp1,ENSG00000099219
Zfp280b,Plch1,ENSG00000114805
Gjb6,Pyroxd2,ENSG00000119943
Smim6,Galnt12,ENSG00000119514
Fam195a,Chchd10,ENSG00000250479
Rcan2,Pigyl,ENSG00000255072
Ccdc88b,Adprm,ENSG00000170222
Cd180,Peo1,ENSG00000107815
5031426D15Rik,Commd7,ENSG00000149600
Unc13b,Rhbg,ENSG00000132677
Pycr2,Cox5b,ENSG00000135940
Fanca,Fbln1,ENSG00000077942
Fcho2,Nars2,ENSG00000137513
Ryk,Fam178a,ENSG00000119906
Snrpb2,Kdm4c,ENSG00000107077
Gpr125,Gpatch2,ENSG00000092978
Acta1,Prr15l,ENSG00000167183
Mvd,S100a16,ENSG00000188643
Alkbh6,Dpp4,ENSG00000197635
Dbnl,Arhgap18,ENSG00000146376
Rft1,Fgfr1op,ENSG00000213066
Aph1c,Mypop,ENSG00000176182
Mcpt4,Coq10b,ENSG00000115520
BC024978,Arhgap17,ENSG00000140750
Sftpc,Stox2,ENSG00000173320
Rapgef1,Ado,ENSG00000181915
Atp5s,Azi2,ENSG00000163512
Ticam2,Irf5,ENSG00000128604
Pmf1,Best3,ENSG00000127325
Dnah5,Pnp,ENSG00000198805
Wbscr17,Dcxr,ENSG00000169738
Rps18,Abi3,ENSG00000108798
Dio2,Tiam2,ENSG00000146426
Slc25a45,Nup210,ENSG00000132182
Zbtb9,Alg6,ENSG00000088035
Rbbp8,Cog2,ENSG00000135775
Slc19a2,Ociad2,ENSG00000145247
Akap10,Nfil3,ENSG00000165030
Zfp385b,Lipt2,ENSG00000175536
Zdhhc6,Nit1,ENSG00000158793
Gabpa,Bcl2l12,ENSG00000126453
Esyt2,Ddrgk1,ENSG00000198171
Mmab,Enkd1,ENSG00000124074
Nid2,Mto1,ENSG00000135297
Anapc11,Hspb1,ENSG00000106211
Wwc2,Ppp1r2,ENSG00000184203
5930403L14Rik,Tgfb1i1,ENSG00000140682
Nub1,Snx29,ENSG00000048471
N6amt2,Erap1,ENSG00000164307
Tmem116,Dusp9,ENSG00000130829
Lnpep,Mfsd12,ENSG00000161091
Cd300a,Syap1,ENSG00000169895
Ptrh1,Mrpl28,ENSG00000086504
Peak1,Zfp467,ENSG00000181444
Slc1a2,Nrip1,ENSG00000180530
Mrps7,Tmem200b,ENSG00000253304
Rrp1,Baz2b,ENSG00000123636
Arhgef25,Gstcd,ENSG00000138780
Lime1,Zfp182,ENSG00000147118
Brk1,Spib,ENSG00000269404
Best3,Nif3l1,ENSG00000196290
Arsj,Ogg1,ENSG00000114026
Rpl10a,E2f6,ENSG00000169016
Polr3gl,Vps13a,ENSG00000197969
Tppp3,Racgap1,ENSG00000161800
Sirt3,Zfhx2,ENSG00000136367
Brf1,Rom1,ENSG00000149489
Sphk1,Ccdc18,ENSG00000122483
Ccnyl1,Bod1,ENSG00000145919
Ldlrap1,Ccna1,ENSG00000133101
Zfyve21,Dnah11,ENSG00000105877
Plk1,Btd,ENSG00000169814
Vapb,Glyctk,ENSG00000168237
Smpd2,Mall,ENSG00000144063
Cadm1,Psmd9,ENSG00000110801
Atg4c,Lemd3,ENSG00000174106
Dgkg,Sdr39u1,ENSG00000100445
Ptgr1,Osbpl5,ENSG00000021762
Adam19,Arhgef38,ENSG00000236699
Sdhb,Rpp40,ENSG00000124787
BC037032,Tti1,ENSG00000101407
Nt5dc3,Rfc4,ENSG00000163918
Gnl3,Dnajc1,ENSG00000136770
Phc1,Qpctl,ENSG00000011478
Hdac8,Rdh13,ENSG00000160439
Adarb1,Cltb,ENSG00000175416
Robo2,Tceal1,ENSG00000172465
Map2k6,Tdrd3,ENSG00000083544
Hist2h2be,Slc16a10,ENSG00000112394
Mlec,Adra1d,ENSG00000171873
Rsl24d1,Adra1a,ENSG00000171873
Snx9,Zfp3,ENSG00000180787
Gnl2,Mrpl2,ENSG00000112651
Kxd1,Abcb8,ENSG00000197150
Mettl23,Ccna2,ENSG00000145386
Cdc6,Ripk2,ENSG00000104312
Get4,Sncg,ENSG00000173267
Dmap1,Ccdc64b,ENSG00000162069
Clock,Sytl5,ENSG00000147041
Cep97,Ganc,ENSG00000214013
1810064F22Rik,Nhsl2,ENSG00000204131
Dusp18,Cramp1l,ENSG00000007545
Nuf2,Sepn1,ENSG00000162430
Cenpf,Pard3b,ENSG00000116117
Dusp22,Sypl,ENSG00000008282
Uprt,Ptpn12,ENSG00000127947
5430405H02Rik,Gna15,ENSG00000060558
Plgrkt,Lig1,ENSG00000105486
Aaas,Shf,ENSG00000138606
2810474O19Rik,Nt5m,ENSG00000205309
Armcx4,Gfm2,ENSG00000164347
Rpl22l1,Nsmce2,ENSG00000156831
Tesk1,Thap2,ENSG00000173451
Chfr,Trim10,ENSG00000204613
Rnf19a,Atm,ENSG00000149311
Sepp1,Rufy3,ENSG00000018189
Atp13a3,Oxr1,ENSG00000164830
Atad5,Gpatch3,ENSG00000198746
Lrg1,Hars2,ENSG00000112855
2610015P09Rik,A630007B06Rik,ENSG00000165813
Zfp236,Tbrg1,ENSG00000154144
Cpxm2,Ttc22,ENSG00000006555
Trim30d,Figf,ENSG00000165197
Brd7,Acp1,ENSG00000143727
Ccdc43,Lrch3,ENSG00000186001
Bmp1,Prdm2,ENSG00000116731
Map3k2,Klhl38,ENSG00000175946
Cyp4f15,Cdc25a,ENSG00000164045
Rtn2,Il17d,ENSG00000172458
Amtn,Hcls1,ENSG00000180353
Ncdn,Begain,ENSG00000183092
Mettl7a1,Mustn1,ENSG00000272573
Rps29,Sqle,ENSG00000104549
Notch3,Lysmd1,ENSG00000163155
Hnrnph2,Tsku,ENSG00000182704
Cep57,Nol3,ENSG00000140939
D3Ertd254e,Tgm2,ENSG00000198959
Tars2,Cby1,ENSG00000100211
Fermt1,Uqcr10,ENSG00000184076
Havcr1,Il11ra1,ENSG00000137070
Ccdc8,Tars2,ENSG00000143374
Nkap,Hexa,ENSG00000213614
Slc25a37,Pcdhga9,ENSG00000261934
Rasl10b,Gprc5b,ENSG00000167191
Cdc20b,Slc2a12,ENSG00000146411
Aldh3a2,Tigd5,ENSG00000179886
Ctcfl,Mreg,ENSG00000118242
Cep104,Cd36,ENSG00000135218
Fhit,Dohh,ENSG00000129932
Gas1,G6pc3,ENSG00000141349
D030025P21Rik,Tfb1m,ENSG00000029639
Abcb6,B3gntl1,ENSG00000175711
Pdxdc1,Gpatch1,ENSG00000076650
Ankrd26,Lurap1,ENSG00000171357
Dck,Paxip1,ENSG00000157212
Ccdc3,Tmem143,ENSG00000161558
Dynlt1c,Glis3,ENSG00000107249
Xrcc6,Ep400,ENSG00000183495
Rdh10,Dhrs13,ENSG00000167536
Tmem30a,Iyd,ENSG00000009765
Oplah,Mdm4,ENSG00000198625
Bpifa1,Sdc2,ENSG00000169439
Rsph3b,Plxnb3,ENSG00000198753
Zfp951,Acat1,ENSG00000075239
Gm3414,Snx11,ENSG00000002919
Arpc5,Scarf2,ENSG00000244486
Sppl3,Gpr107,ENSG00000148358
Med18,Mpdz,ENSG00000107186
Smarcad1,Gas1,ENSG00000180447
Kat7,Map3k14,ENSG00000006062
Slc12a6,Aph1b,ENSG00000138613
1700028K03Rik,Nox1,ENSG00000007952
Larp7,Trpm5,ENSG00000070985
Tle4,Tmbim4,ENSG00000155957
Sparcl1,Mrpl39,ENSG00000154719
Paqr9,Sugct,ENSG00000175600
Srek1ip1,Ogfod3,ENSG00000181396
Usp33,Zscan25,ENSG00000197037
Adamts15,Ddx59,ENSG00000118197
Neurl2,Mttp,ENSG00000138823
Ints4,Mvd,ENSG00000167508
Timm17a,Mrps6,ENSG00000243927
Dnajc8,4930430F08Rik,ENSG00000133641
Tsn,Ccdc80,ENSG00000091986
Atp1a2,Sorbs2,ENSG00000154556
Rtdr1,Slc4a11,ENSG00000088836
Tmem229b,Trmt13,ENSG00000122435
Pex26,Slc38a6,ENSG00000139974
Ap2s1,E2f1,ENSG00000101412
Osbp,Car14,ENSG00000118298
Gm13363,Tcirg1,ENSG00000110719
Prrg2,Txnrd2,ENSG00000184470
Krt10,Emc10,ENSG00000161671
Ormdl3,Rgs12,ENSG00000159788
Gpc3,Rdh11,ENSG00000072042
Snupn,Dqx1,ENSG00000144045
Ptpn9,Ndc80,ENSG00000080986
Gm3383,Vezt,ENSG00000028203
Igbp1,Smtnl2,ENSG00000188176
Cmya5,Gstm2,ENSG00000134184
Atp6v0c-ps2,Dnmt3b,ENSG00000088305
Slc35d2,Ppp2r5c,ENSG00000078304
Ndrg1,Faah,ENSG00000117480
Tuba1c,Rev1,ENSG00000135945
Ldlrad1,Itih2,ENSG00000151655
Sertad3,Uqcr11,ENSG00000127540
Srm,Rusc1,ENSG00000160753
Zfp282,Gal3st1,ENSG00000128242
Tceal8,Ctns,ENSG00000040531
Pcdh20,AU022252,ENSG00000164008
Ano1,Aldh3a2,ENSG00000072210
Skiv2l2,Exo5,ENSG00000164002
Klhl3,Obsl1,ENSG00000124006
Tnnt2,Scnn1b,ENSG00000168447
Fgf7,Nsun5,ENSG00000130305
Epc2,Hnmt,ENSG00000150540
Ccdc86,Fbxo16,ENSG00000214050
Dlat,Hebp2,ENSG00000051620
Galnt2,Wdyhv1,ENSG00000156795
Cnrip1,Hmces,ENSG00000183624
Tbata,Pear1,ENSG00000187800
Tmem39b,Traf1,ENSG00000056558
Rn45s,4930453N24Rik,ENSG00000179021
Pcyt1b,Igf2,ENSG00000167244
Eif3b,M6pr,ENSG00000167244
Trex1,Mrps7,ENSG00000125445
Btbd11,Nhlrc2,ENSG00000196865
Ppie,Ppp6r1,ENSG00000105063
Scrn2,Kazald1,ENSG00000107821
Dido1,Lrrc45,ENSG00000169683
Zbtb11,Gpr157,ENSG00000180758
Commd10,Tdrd7,ENSG00000196116
Foxn2,Iah1,ENSG00000134330
Cecr5,Id1,ENSG00000125968
Paip2b,Prc1,ENSG00000198901
Gtf2h3,Dennd1b,ENSG00000213047
Cdc40,Fmo5,ENSG00000131781
Bik,Uevld,ENSG00000151116
Tmem138,Vps37b,ENSG00000139722
Ap3b1,Pcdhgb4,ENSG00000253953
Morn4,Myadm,ENSG00000179820
Ctbp1,Cbs,ENSG00000160200
Dnajc1,A330021E22Rik,ENSG00000105792
Zbtb49,Focad,ENSG00000188352
Nutf2-ps1,Pus1,ENSG00000177192
Ccl17,Larp4,ENSG00000161813
Styx,Armc7,ENSG00000125449
Plscr3,Sema4a,ENSG00000196189
Rnft2,Rgs18,ENSG00000150681
Bmp3,Naprt1,ENSG00000147813
Atg12,Nsd1,ENSG00000165671
Tmeff2,Chst12,ENSG00000136213
G530011O06Rik,Heatr1,ENSG00000119285
Me3,Gstp2,ENSG00000084207
Zfp235,Slk,ENSG00000065613
Runx1t1,Mkl2,ENSG00000186260
Syngr1,Sirt1,ENSG00000096717
Tspyl4,Tmub2,ENSG00000168591
Tmed1,Dot1l,ENSG00000104885
Fcgr4,Vegfa,ENSG00000112715
Dhx15,Eif4g3,ENSG00000075151
Tap1,Pde3a,ENSG00000172572
Hspg2,Dok1,ENSG00000115325
Atp5a1,Ssbp1,ENSG00000106028
Acad8,Asb3,ENSG00000115239
Ccdc176,1500015O10Rik,ENSG00000119147
Mvb12b,Filip1l,ENSG00000168386
Cd274,Ank2,ENSG00000145362
Zfp94,Nfatc1,ENSG00000131196
Srsf2,Oaz1,ENSG00000104904
St3gal5,Ifitm10,ENSG00000244242
Poglut1,Lhfpl2,ENSG00000145685
Cdkl3,Cbfa2t3,ENSG00000129993
Atp5b,Isca2,ENSG00000165898
Ccl22,Nubp2,ENSG00000095906
Ctse,Letm1,ENSG00000168924
Troap,Fam13c,ENSG00000148541
Wdr11,Mesdc2,ENSG00000117899
Glcci1,Ghr,ENSG00000157017
Zc3hc1,Aldh3b1,ENSG00000006534
Zfand2b,Ube2t,ENSG00000077152
Creb3,Gpx4,ENSG00000167468
Kcnip3,Tmem219,ENSG00000149932
Pmvk,Atrx,ENSG00000085224
Phf11d,Heatr6,ENSG00000068097
Alms1,Dennd1a,ENSG00000119522
Rreb1,Fstl4,ENSG00000053108
Cep192,Stap1,ENSG00000035720
BC021891,Ccdc174,ENSG00000154781
Rrp36,Cox6b1,ENSG00000126267
Emid1,Golga5,ENSG00000066455
Arhgef19,Snx16,ENSG00000104497
Mphosph9,Snap29,ENSG00000099940
Dusp4,Pdcd2,ENSG00000071994
Brd9,Tekt2,ENSG00000092850
Gpatch4,Fam196a,ENSG00000188916
Rnf135,Tbx6,ENSG00000149922
Gm5577,Slc35e4,ENSG00000100036
Enpp5,Fam105a,ENSG00000145569
BC003965,Ung,ENSG00000076248
Nipbl,Cth,ENSG00000116761
Marco,Ptprb,ENSG00000127329
Gbp9,Cryl1,ENSG00000165475
Ces1e,Fam135a,ENSG00000082269
Syap1,Lrrc20,ENSG00000172731
Col4a3,Popdc2,ENSG00000121577
Eppk1,Zmynd15,ENSG00000141497
Polr3k,H6pd,ENSG00000049239
Gpt2,Layn,ENSG00000204381
Pcdhga10,Mmachc,ENSG00000132763
Ptpn4,Rnase4,ENSG00000258818
Ing5,Cog1,ENSG00000166685
Lypd6,Zfp346,ENSG00000113761
Renbp,Txnrd3,ENSG00000197763
Zdhhc15,Spats2,ENSG00000123352
Ptprn2,Mrpl16,ENSG00000166902
Tmx4,Baz2a,ENSG00000076108
Lrfn3,Wash,ENSG00000181404
Dhx8,Rabep2,ENSG00000177548
Veph1,Lyrm7,ENSG00000186687
Ltn1,Wisp1,ENSG00000104415
Tmub2,Diap2,ENSG00000147202
Pld1,Maml2,ENSG00000184384
Sntb1,Yars2,ENSG00000139131
Csf2,Atp10b,ENSG00000118322
Plec,Dph2,ENSG00000132768
9430038I01Rik,1110065P20Rik,ENSG00000197982
Papss1,Esyt3,ENSG00000158220
Surf4,Col6a3,ENSG00000163359
Pkn2,Sox8,ENSG00000005513
Nsun4,F2rl1,ENSG00000164251
Bsg,Adarb2,ENSG00000185736
2210018M11Rik,Aptx,ENSG00000137074
Vgll3,Upk3a,ENSG00000100373
Zbtb4,Rsf1,ENSG00000048649
Zfp507,AU019823,ENSG00000150776
Snrpf,Pdss1,ENSG00000148459
Pcdhb4,Dcbld2,ENSG00000057019
Kat2a,Cerk,ENSG00000100422
Trim62,Sc5d,ENSG00000109929
E230016K23Rik,Cntrob,ENSG00000170037
Kmt2c,Zfp263,ENSG00000006194
Cdc42bpb,Camkmt,ENSG00000143919
Cbx3,Mipep,ENSG00000027001
Zfp438,Col4a2,ENSG00000134871
Fkbp8,Farp2,ENSG00000006607
Lrrc32,Zfp383,ENSG00000188283
Bmyc,Carns1,ENSG00000172508
Aim1l,Rrp7a,ENSG00000189306
Mynn,Tpbg,ENSG00000146242
Lrrc23,Acot13,ENSG00000112304
Klk11,1700123O20Rik,ENSG00000179933
4930525G20Rik,Hhat,ENSG00000054392
Grp,Zfp628,ENSG00000197483
Ccdc42,Stard5,ENSG00000172345
Mob4,Sbk3,ENSG00000231274
BC068157,Fgr,ENSG00000000938
Tnfaip2,Aldh5a1,ENSG00000112294
Scarf1,Cspg4,ENSG00000173546
Dgcr6,Hltf,ENSG00000071794
Dnajc28,Slc14a1,ENSG00000141469
Dgcr8,Zfyve20,ENSG00000131381
Ipo13,Slc43a1,ENSG00000149150
Cnn2,Vars2,ENSG00000137411
Magi1,B3glct,ENSG00000187676
Atp5e,Mok,ENSG00000080823
Zbtb22,Gata6,ENSG00000141448
Tmem132d,Epg5,ENSG00000152223
Kbtbd2,Zfp397,ENSG00000186812
Epb4.1l3,Wdr53,ENSG00000185798
Psma4,Pcolce,ENSG00000106333
Cdk12,Iws1,ENSG00000163166
Zfp442,Ephx1,ENSG00000143819
Siah2,Pnliprp1,ENSG00000187021
Prep,Acadvl,ENSG00000072778
Ccdc33,Tnk1,ENSG00000174292
Gbf1,Dab2,ENSG00000153071
Amfr,Sgcg,ENSG00000102683
Gipc1,Afap1l2,ENSG00000169129
Rrad,Mxd3,ENSG00000213347
Fam135a,Mgp,ENSG00000111341
Dtd1,Mrps36,ENSG00000134056
Kcnb2,Fam26e,ENSG00000178033
Dzip1,Stambp,ENSG00000124356
Cdk14,Mak,ENSG00000111837
1810010H24Rik,Cox6a1,ENSG00000111775
Ube2q2,Hmga2,ENSG00000149948
Psen1,Sdc3,ENSG00000162512
Sash3,Ccbl2,ENSG00000137944
Gbp8,Cwc22,ENSG00000163510
Camk2g,Scfd2,ENSG00000184178
Fbxo9,Irak4,ENSG00000198001
Zfp639,Tstd1,ENSG00000215845
Gpr20,Yipf6,ENSG00000181704
Slc30a5,Znrf2,ENSG00000180233
Gsto1,Olfml2b,ENSG00000162745
Syt11,Mrfap1,ENSG00000179010
Sgpl1,Chm,ENSG00000188419
Zfp382,Ccnf,ENSG00000162063
1700030C10Rik,Selm,ENSG00000198832
P2rx2,Zbtb8a,ENSG00000160062
Vcan,Tigd3,ENSG00000173825
Pnpo,Sned1,ENSG00000162804
Nme1,Slc39a3,ENSG00000141873
Casp12,Rsl24d1,ENSG00000137876
Cirh1a,Entpd2,ENSG00000054179
Gtf3c4,Cgrrf1,ENSG00000100532
Klhdc8a,Fam198b,ENSG00000164125
Lrrc43,Fzd6,ENSG00000164930
Mdn1,Bcat2,ENSG00000105552
Cdhr3,Nipal4,ENSG00000172548
Pcyt2,Isoc2a,ENSG00000063241
Spry1,Scamp4,ENSG00000227500
Zc3h12b,Nipsnap3b,ENSG00000136783
Tpr,Zcchc9,ENSG00000131732
Dis3,5430427O19Rik,ENSG00000120280
H2-Q10,Spdya,ENSG00000163806
Arl3,Spry1,ENSG00000164056
Cachd1,Eri1,ENSG00000104626
Ccdc51,Klhdc9,ENSG00000162755
Cyp2b10,Adal,ENSG00000168803
